attexp.txt,Attribute Expression File:
cond_index=N,2,Key to Row ID in Symbol Assignment File,-,:
seq=N,1,Sequence Number of Expression Component,-,:
att=T,4,Attribute Code,-,:
oper=N,1,Relational Operator,code.txt,:
value=T,10,Attribute Value,-,:
connector=N,1,Expression Component Logical Connector,code.txt,:
;
2|1|exs|2|6|0
3|1|exs|1|6|0
4|1|nam|2|"UNK"|0
5|1|exs|2|6|0
6|1|exs|1|6|0
7|1|nam|2|"UNK"|0
8|1|exs|2|6|0
9|1|exs|1|6|0
10|1|nam|2|"UNK"|0
12|1|exs|2|6|0
13|1|exs|1|6|0
14|1|nam|2|"UNK"|0
17|1|nam|2|"UNK"|0
19|1|exs|2|6|0
20|1|exs|1|6|0
21|1|nam|2|"UNK"|0
22|1|exs|2|6|0
23|1|exs|1|6|0
24|1|nam|2|"UNK"|0
25|1|exs|2|6|0
26|1|exs|1|6|0
27|1|nam|2|"UNK"|0
29|1|exs|2|6|0
30|1|exs|1|6|0
31|1|nam|2|"UNK"|0
33|1|exs|2|6|0
34|1|exs|1|6|0
35|1|nam|2|"UNK"|0
36|1|exs|2|6|0
37|1|exs|1|6|0
39|1|nam|2|"UNK"|0
40|1|exs|2|6|0
41|1|exs|1|6|0
42|1|nam|2|"UNK"|0
43|1|exs|2|6|0
44|1|exs|1|6|0
48|1|hgt|1|-32767|4
48|2|hgt|6|304|0
49|1|hgt|4|0|3
49|2|hgt|3|304|0
50|1|atn|1|3|2
50|2|hgt|1|-32767|4
50|3|atn|1|3|2
50|4|hgt|6|304|0
51|1|atn|1|3|2
51|2|hgt|4|0|3
51|3|hgt|3|304|0
52|1|hgt|2|-32767|0
53|1|zv2|2|-32767|0
56|1|hyc|2|0|3
56|2|hyc|2|8|2
56|3|pro|1|116|0
57|1|hyc|1|0|1
57|2|hyc|1|8|2
57|3|pro|1|116|0
58|1|pro|2|116|0
59|1|nam|2|"UNK"|0
60|1|hyc|2|0|3
60|2|hyc|2|8|2
60|3|pro|1|116|0
61|1|hyc|1|0|1
61|2|hyc|1|8|2
61|3|pro|1|116|0
62|1|pro|2|116|0
63|1|nam|2|"UNK"|0
64|1|hyc|2|0|3
64|2|hyc|2|8|2
64|3|pro|1|116|0
65|1|hyc|1|0|1
65|2|hyc|1|8|2
65|3|pro|1|116|0
66|1|pro|2|116|0
67|1|nam|2|"UNK"|0
68|1|hyc|2|0|3
68|2|hyc|2|8|2
68|3|pro|1|116|0
69|1|hyc|1|0|1
69|2|hyc|1|8|2
69|3|pro|1|116|0
70|1|pro|2|116|0
71|1|nam|2|"UNK"|0
78|1|hgt|1|-32767|4
78|2|hgt|6|304|0
79|1|hgt|4|0|3
79|2|hgt|3|304|0
80|1|atn|1|3|2
80|2|hgt|1|-32767|4
80|3|atn|1|3|2
80|4|hgt|6|304|0
81|1|atn|1|3|2
81|2|hgt|4|0|3
81|3|hgt|3|304|0
82|1|hgt|2|-32767|0
83|1|zv2|2|-32767|0
97|1|nam|2|"UNK"|0
99|1|nam|2|"UNK"|0
100|1|hgt|1|-32767|4
100|2|hgt|6|304|0
101|1|hgt|4|0|3
101|2|hgt|3|304|0
102|1|atn|1|3|2
102|2|hgt|1|-32767|4
102|3|atn|1|3|2
102|4|hgt|6|304|0
103|1|atn|1|3|2
103|2|hgt|4|0|3
103|3|hgt|3|304|0
104|1|hgt|2|-32767|0
105|1|zv2|2|-32767|0
107|1|nam|2|"UNK"|0
109|1|nam|2|"UNK"|0
111|1|nam|2|"UNK"|0
113|1|nam|2|"UNK"|0
116|1|nam|2|"UNK"|0
118|1|hgt|1|-32767|4
118|2|hgt|6|304|0
119|1|hgt|4|0|3
119|2|hgt|3|304|0
120|1|atn|1|3|2
120|2|hgt|1|-32767|4
120|3|atn|1|3|2
120|4|hgt|6|304|0
121|1|atn|1|3|2
121|2|hgt|4|0|3
121|3|hgt|3|304|0
122|1|hgt|2|-32767|0
123|1|zv2|2|-32767|0
126|1|hgt|1|-32767|4
126|2|hgt|6|304|0
127|1|hgt|4|0|3
127|2|hgt|3|304|0
128|1|atn|1|3|2
128|2|hgt|1|-32767|4
128|3|atn|1|3|2
128|4|hgt|6|304|0
129|1|atn|1|3|2
129|2|hgt|4|0|3
129|3|hgt|3|304|0
130|1|hgt|2|-32767|0
131|1|zv2|2|-32767|0
136|1|nam|2|"UNK"|0
144|1|nam|2|"UNK"|0
145|1|hgt|1|-32767|4
145|2|hgt|6|304|0
146|1|hgt|4|0|3
146|2|hgt|3|304|0
147|1|atn|1|3|2
147|2|hgt|1|-32767|4
147|3|atn|1|3|2
147|4|hgt|6|304|0
148|1|atn|1|3|2
148|2|hgt|4|0|3
148|3|hgt|3|304|0
149|1|hgt|2|-32767|0
150|1|zv2|2|-32767|0
153|1|nam|2|"UNK"|0
155|1|nam|2|"UNK"|0
157|1|nam|2|"UNK"|0
160|1|nam|2|"UNK"|0
167|1|nam|2|"UNK"|0
169|1|hgt|1|-32767|4
169|2|hgt|6|304|0
170|1|hgt|4|0|3
170|2|hgt|3|304|0
171|1|atn|1|3|2
171|2|hgt|1|-32767|4
171|3|atn|1|3|2
171|4|hgt|6|304|0
172|1|atn|1|3|2
172|2|hgt|4|0|3
172|3|hgt|3|304|0
173|1|hgt|2|-32767|0
174|1|zv2|2|-32767|0
179|1|nam|2|"UNK"|0
187|1|hgt|1|-32767|4
187|2|hgt|6|304|0
188|1|hgt|4|0|3
188|2|hgt|3|304|0
189|1|atn|1|3|2
189|2|hgt|1|-32767|4
189|3|atn|1|3|2
189|4|hgt|6|304|0
190|1|atn|1|3|2
190|2|hgt|4|0|3
190|3|hgt|3|304|0
191|1|hgt|2|-32767|0
192|1|zv2|2|-32767|0
196|1|hgt|1|-32767|4
196|2|hgt|6|304|0
197|1|hgt|4|0|3
197|2|hgt|3|304|0
198|1|atn|1|3|2
198|2|hgt|1|-32767|4
198|3|atn|1|3|2
198|4|hgt|6|304|0
199|1|atn|1|3|2
199|2|hgt|4|0|3
199|3|hgt|3|304|0
200|1|hgt|2|-32767|0
201|1|zv2|2|-32767|0
211|1|hgt|1|-32767|4
211|2|hgt|6|304|0
212|1|hgt|4|0|3
212|2|hgt|3|304|0
213|1|atn|1|3|2
213|2|hgt|1|-32767|4
213|3|atn|1|3|2
213|4|hgt|6|304|0
214|1|atn|1|3|2
214|2|hgt|4|0|3
214|3|hgt|3|304|0
215|1|hgt|2|-32767|0
216|1|zv2|2|-32767|0
224|1|hgt|1|-32767|4
224|2|hgt|6|304|0
225|1|hgt|4|0|3
225|2|hgt|3|304|0
226|1|atn|1|3|2
226|2|hgt|1|-32767|4
226|3|atn|1|3|2
226|4|hgt|6|304|0
227|1|atn|1|3|2
227|2|hgt|4|0|3
227|3|hgt|3|304|0
228|1|hgt|2|-32767|0
229|1|zv2|2|-32767|0
232|1|hgt|1|-32767|4
232|2|hgt|6|304|0
233|1|hgt|4|0|3
233|2|hgt|3|304|0
234|1|atn|1|3|2
234|2|hgt|1|-32767|4
234|3|atn|1|3|2
234|4|hgt|6|304|0
235|1|atn|1|3|2
235|2|hgt|4|0|3
235|3|hgt|3|304|0
236|1|hgt|2|-32767|0
237|1|zv2|2|-32767|0
242|1|hgt|1|-32767|4
242|2|hgt|6|304|0
243|1|hgt|4|0|3
243|2|hgt|3|304|0
244|1|atn|1|3|2
244|2|hgt|1|-32767|4
244|3|atn|1|3|2
244|4|hgt|6|304|0
245|1|atn|1|3|2
245|2|hgt|4|0|3
245|3|hgt|3|304|0
246|1|hgt|2|-32767|0
247|1|zv2|2|-32767|0
250|1|hgt|1|-32767|4
250|2|hgt|6|304|0
251|1|hgt|4|0|3
251|2|hgt|3|304|0
252|1|atn|1|3|2
252|2|hgt|1|-32767|4
252|3|atn|1|3|2
252|4|hgt|6|304|0
253|1|atn|1|3|2
253|2|hgt|4|0|3
253|3|hgt|3|304|0
254|1|hgt|2|-32767|0
255|1|zv2|2|-32767|0
257|1|nam|2|"UNK"|0
261|1|nam|2|"UNK"|0
263|1|nam|2|"UNK"|0
267|1|nam|2|"UNK"|0
269|1|nam|2|"UNK"|0
271|1|nam|2|"UNK"|0
273|1|hgt|1|-32767|4
273|2|hgt|6|304|0
274|1|hgt|4|0|3
274|2|hgt|3|304|0
275|1|atn|1|3|2
275|2|hgt|1|-32767|4
275|3|atn|1|3|2
