time,latitude,longitude,elevation
2009-03-21 14:11:55 +0000,35.908407,-82.780533,810.048000
2009-03-21 14:12:04 +0000,35.908376,-82.780381,811.490000
2009-03-21 14:12:22 +0000,35.908439,-82.779966,812.932000
2009-03-21 14:12:26 +0000,35.908453,-82.779876,813.413000
2009-03-21 14:12:41 +0000,35.908461,-82.779570,814.374000
2009-03-21 14:12:55 +0000,35.908445,-82.779408,815.816000
2009-03-21 14:13:11 +0000,35.908353,-82.779229,814.374000
2009-03-21 14:13:25 +0000,35.908379,-82.779068,814.374000
2009-03-21 14:13:29 +0000,35.908415,-82.779019,814.374000
2009-03-21 14:13:48 +0000,35.908482,-82.778751,814.374000
2009-03-21 14:14:02 +0000,35.908420,-82.778595,813.893000
2009-03-21 14:14:14 +0000,35.908469,-82.778475,814.855000
2009-03-21 14:14:30 +0000,35.908629,-82.778265,814.855000
2009-03-21 14:14:46 +0000,35.908693,-82.778017,813.893000
2009-03-21 14:15:07 +0000,35.908747,-82.777629,814.855000
2009-03-21 14:15:22 +0000,35.908732,-82.777458,814.374000
2009-03-21 14:15:31 +0000,35.908758,-82.777353,813.413000
2009-03-21 14:15:46 +0000,35.908851,-82.777071,813.413000
2009-03-21 14:16:02 +0000,35.909015,-82.776853,811.971000
2009-03-21 14:16:20 +0000,35.909129,-82.776537,810.048000
2009-03-21 14:16:36 +0000,35.909156,-82.776391,808.606000
2009-03-21 14:16:53 +0000,35.909216,-82.776210,809.087000
2009-03-21 14:17:11 +0000,35.909295,-82.776028,808.606000
2009-03-21 14:17:19 +0000,35.909352,-82.775909,808.125000
2009-03-21 14:17:35 +0000,35.909464,-82.775681,808.606000
2009-03-21 14:17:46 +0000,35.909554,-82.775530,809.087000
2009-03-21 14:18:03 +0000,35.909778,-82.775364,807.645000
2009-03-21 14:18:25 +0000,35.909882,-82.775037,806.203000
2009-03-21 14:18:40 +0000,35.909879,-82.774905,805.241000
2009-03-21 14:18:57 +0000,35.909823,-82.774757,805.241000
2009-03-21 14:19:07 +0000,35.909838,-82.774668,804.280000
2009-03-21 14:19:22 +0000,35.909964,-82.774457,803.800000
2009-03-21 14:19:39 +0000,35.910139,-82.774192,803.800000
2009-03-21 14:19:58 +0000,35.910280,-82.773896,801.877000
2009-03-21 14:20:13 +0000,35.910298,-82.773735,801.877000
2009-03-21 14:20:31 +0000,35.910210,-82.773571,801.396000
2009-03-21 14:20:48 +0000,35.910160,-82.773394,800.916000
2009-03-21 14:21:05 +0000,35.910213,-82.773135,801.877000
2009-03-21 14:21:24 +0000,35.910262,-82.772844,799.954000
2009-03-21 14:21:43 +0000,35.910314,-82.772590,798.512000
2009-03-21 14:22:01 +0000,35.910295,-82.772415,798.512000
2009-03-21 14:22:19 +0000,35.910287,-82.772242,797.070000
2009-03-21 14:22:35 +0000,35.910280,-82.772036,796.590000
2009-03-21 14:22:53 +0000,35.910293,-82.771948,795.628000
2009-03-21 14:23:18 +0000,35.910289,-82.771823,795.147000
2009-03-21 14:23:37 +0000,35.910296,-82.771753,793.706000
2009-03-21 14:23:55 +0000,35.910302,-82.771631,793.225000
2009-03-21 14:24:13 +0000,35.910202,-82.771421,793.225000
2009-03-21 14:24:29 +0000,35.910090,-82.771300,792.744000
2009-03-21 14:24:48 +0000,35.909890,-82.771213,793.225000
2009-03-21 14:25:04 +0000,35.909772,-82.771131,793.225000
2009-03-21 14:25:17 +0000,35.909723,-82.771042,793.706000
2009-03-21 14:25:32 +0000,35.909701,-82.771072,796.590000
2009-03-21 14:25:49 +0000,35.909675,-82.771144,798.993000
2009-03-21 14:26:11 +0000,35.909633,-82.771120,798.512000
2009-03-21 14:27:23 +0000,35.909618,-82.771076,796.590000
2009-03-21 14:28:39 +0000,35.909594,-82.771093,796.109000
2009-03-21 14:29:47 +0000,35.909538,-82.771074,795.628000
2009-03-21 14:30:27 +0000,35.909506,-82.771066,795.147000
2009-03-21 14:30:56 +0000,35.909595,-82.771155,795.147000
2009-03-21 14:31:46 +0000,35.909576,-82.771180,794.186000
2009-03-21 14:32:00 +0000,35.909635,-82.771091,792.264000
2009-03-21 14:32:17 +0000,35.909690,-82.770953,789.380000
2009-03-21 14:32:31 +0000,35.909569,-82.770930,788.418000
2009-03-21 14:32:46 +0000,35.909436,-82.771068,787.938000
2009-03-21 14:32:55 +0000,35.909368,-82.771153,786.015000
2009-03-21 14:33:00 +0000,35.909335,-82.771198,785.534000
2009-03-21 14:33:16 +0000,35.909184,-82.771291,785.054000
